ifeng.com,210.51.19.63
bbc.co.uk,212.58.244.22
goo.ne.jp,153.254.147.65
myspace.com,63.135.90.70
mail.ru,94.100.180.199
yandex.ru,5.255.255.80
cnet.com,64.30.228.118
go.com,199.181.131.249
4399.com,118.184.184.70
orkut.com,104.198.205.178
skype.com,104.40.50.126
naver.com,125.209.222.141
ameblo.jp,27.133.208.13
flickr.com,69.147.76.173
4shared.com,204.155.149.38
amazon.co.jp,54.240.248.0
linkedin.com,108.174.10.10
dailymotion.com,195.8.215.136
aol.com,64.12.89.186
imdb.com,72.21.206.80
alipay.com,110.76.19.33
hotmail.com,157.56.172.28
nifty.com,222.158.213.148
imageshack.us,208.94.3.19
cnn.com,151.101.64.73
softonic.com,46.28.209.20
mywebsearch.com,74.113.233.48
tianya.cn,124.225.65.154
partypoker.com,88.81.155.145
hp.com,15.201.225.10
zynga.com,54.200.204.21
kugou.com,14.18.236.182
walmart.com,161.170.244.20
ebay.de,66.135.201.153
youdao.com,61.135.218.26
qiyi.com,101.227.22.161
pconline.com.cn,219.136.245.40
hotfile.com,199.184.144.150
jp.msn.com,23.101.196.141
odnoklassniki.ru,5.61.23.5
jp.msn.com,23.101.196.141
360.cn,125.88.190.56
craigslist.org,208.82.237.129
weather.com,173.222.34.14
soku.com,220.181.185.143
megaupload.com,
renren.com,103.235.252.211
alibaba.com,198.11.132.23
blogger.com,216.58.217.9
vkontakte.ru,95.213.4.229
livedoor.jp,125.6.149.67
rapidshare.com,10.11.12.13
daum.net,61.111.62.173
youtube.com,216.58.217.14
answers.com,67.196.156.65
7k7k.com,115.182.59.33
yahoo.com,206.190.36.45
tudou.com,123.126.98.148
2345.com,42.62.30.180
live.com,65.55.206.154
yahoo.co.jp,182.22.59.229
wordpress.com,192.0.78.17
photobucket.com,209.17.68.100
wikipedia.org,208.80.153.224
sohu.com,220.181.90.20
mediafire.com,205.196.120.12
apple.com,17.172.224.47
ehow.com,23.227.11.12
baidu.com,180.149.132.47
hao123.com,180.149.132.19
msn.com,23.101.196.141
blogspot.com,216.58.217.9
seesaa.net,59.106.28.139
windows.com,23.100.122.175
microsoft.com,23.100.122.175
windows.com,191.239.213.197
qq.com,61.135.157.156
pps.tv,58.83.190.154
ebay.com,66.211.185.25
xunlei.com,119.188.108.240
bing.com,204.79.197.200
taobao.com,140.205.94.189
sina.com.cn,202.108.33.60
fc2.com,54.187.26.65
56.com,101.227.173.126
paypal.com,64.4.250.24
163.com,123.58.180.7
sogou.com,118.191.216.42
soso.com,106.120.151.169
tmall.com,140.205.130.99
adobe.com,192.150.16.117
ask.com,66.235.120.127
twitter.com,199.59.148.10
rakuten.co.jp,133.237.48.124
ku6.com,122.11.45.243
mozilla.com,63.245.213.24
youku.com,123.126.99.31
about.com,207.241.148.80
sdjjdsaf.com,
orkut.com.br,
andysayler.com,162.243.49.20
wmfo.org,23.92.21.128
sdjjdsaf.com,
